Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
"В Уфе болельщику, выбежавшему на лед после игры «Салавата», запретили посещать матчи на полгода",https://ufa1.ru/text/incidents/2023/02/01/72024776/,Происшествия  Спорт,2023-02-01 21:56:00,8114,86160,25
«Город 36 лет носил его имя»: в Волгограде торжественно открыли памятник Сталину,https://ufa1.ru/text/world/2023/02/01/72024608/,Страна и мир,2023-02-01 21:05:05,3525,83345,18
"Большой опыт и зарплата: что известно о замглавы района в Уфе, которого обвинили в подделке диплома",https://ufa1.ru/text/incidents/2023/02/01/72018758/,Происшествия,2023-02-01 20:00:00,10710,82495,25
У фильма про знаменитого дворника Юру из Уфы появились трейлер и дата выхода,https://ufa1.ru/text/entertainment/2023/02/01/72024362/,Культура  Развлечения,2023-02-01 19:40:00,4187,85200,6
"Жителей Уфы напугал столб дыма в районе Курочкиной горы. В МЧС рассказали, что сгорело",https://ufa1.ru/text/incidents/2023/02/01/72023873/,Происшествия,2023-02-01 18:45:00,4197,83100,25
"Барин или холоп? Разбираемся, какие фамилии дворянские, а какие крестьянские — можно найти свою",https://ufa1.ru/text/family/2023/02/01/72021509/,Семья,2023-02-01 18:00:00,4710,83700,26
"В уфимском ТРЦ «Планета» вновь открылся магазин Mango, ушедший из РФ в прошлом году",https://ufa1.ru/text/business/2023/02/01/72023561/,Бизнес,2023-02-01 17:45:53,5780,85553,29
Кому и зачем нужны засекреченные декларации депутатов? Реакция простых людей на новый закон,https://ufa1.ru/text/politics/2023/02/01/72022340/,Политика,2023-02-01 17:30:00,2220,85447,22
"Понадобится 10 лет: ветеринар — о том, можно ли разводить в Башкирии зубров из Белоруссии",https://ufa1.ru/text/ecology/2023/02/01/72023438/,Экология,2023-02-01 17:03:00,2632,84780,15
«Рядом нашли пустые упаковки от таблеток»: в Башкирии срочно госпитализировали 13-летнюю девочку,https://ufa1.ru/text/incidents/2023/02/01/72023120/,Происшествия,2023-02-01 16:10:26,3312,83246,25
В Башкирии изменят количество вагонов у всех поездов «Ласточка». Ранее проезд на них подорожал,https://ufa1.ru/text/transport/2023/02/01/72023090/,Дороги и транспорт,2023-02-01 15:35:27,2513,84301,19
"Как развестись через «Госуслуги» и что делать, если один супруг в России, а другой за границей? Отвечают юристы",https://ufa1.ru/text/family/2023/02/01/72020066/,Семья,2023-02-01 15:00:00,1422,84273,26
На ремонт здания МВД в центре Уфы потратят до 80 миллионов рублей,https://ufa1.ru/text/gorod/2023/02/01/72022886/,Город,2023-02-01 14:40:00,2955,85200,12
"Суд над женой военкома: новые подробности о деле хоккеистов, которые покупали в Уфе военники",https://ufa1.ru/text/incidents/2023/02/01/72022787/,Происшествия,2023-02-01 14:30:00,5177,85800,25
В небе над Сибирью пролетел огненный шар. Что это было? Кадры очевидцев и версии экспертов,https://ufa1.ru/text/entertainment/2023/02/01/72022730/,Развлечения,2023-02-01 14:02:06,2588,84726,24
"«В Европе газ, а где у нас?» Недовольные суммами в платежках уфимцы вышли на пикет перед мэрией",https://ufa1.ru/text/house/2023/02/01/72022637/,Мой дом,2023-02-01 13:56:00,19742,86034,14
"«Злость, нервозность, неудовлетворенность». Успешный бизнесмен — о том, почему люди выгорают",https://ufa1.ru/text/business/2023/02/01/72019415/,Бизнес,2023-02-01 13:00:00,3065,83040,29
В Минздраве Башкирии ответили на предостережение прокуратуры о проблемах с закупкой лекарств,https://ufa1.ru/text/health/2023/02/01/72022151/,Здоровье,2023-02-01 12:27:00,2690,84420,23
Россиянам напомнили о внеплановых выходных в феврале: как будем отдыхать,https://ufa1.ru/text/job/2023/02/01/72020273/,Работа,2023-02-01 12:00:00,2482,84780,20
"Верховный суд смягчил приговор защитнику медиков Башкирии. С 6,5 года заключения до 6 лет и 3 месяцев",https://ufa1.ru/text/politics/2023/02/01/72022028/,Политика,2023-02-01 11:50:00,2343,85800,22
ЕСПЧ присудил € 26 тысяч фигурантке громкого скандала с участием полицейских. Но она ничего не получит,https://ufa1.ru/text/world/2023/02/01/72021155/,Страна и мир,2023-02-01 11:00:00,2241,83400,18
Ностальгия по 1990-м: в Уфе продают раритетный ИЖ «Орбита». Выглядит как новенький,https://ufa1.ru/text/transport/2023/02/01/72021887/,Дороги и транспорт,2023-02-01 10:56:00,2971,86160,19
"Пособия снова вырастут, но не все: кто получит больше денег уже в феврале",https://ufa1.ru/text/economics/2023/02/01/72020831/,Экономика,2023-02-01 10:00:00,2168,83040,2
"От Башкирии в Госдуму внесли законопроект, разрешающий участникам СВО не отчитываться о доходах",https://ufa1.ru/text/politics/2023/02/01/72021734/,Политика,2023-02-01 09:25:00,2646,84300,22
«Ему нужен был трофей»: как директор разведки африканской страны пытался отнять у российского туриста машину за 2 миллиона,https://ufa1.ru/text/world/2023/02/01/72021080/,Страна и мир,2023-02-01 09:00:00,2605,84900,18
Покладистый пол: в Уфе появился передовой материал для ремонта — какие отзывы на форумах,https://ufa1.ru/text/house/2023/02/01/72016793/,Мой дом,2023-02-01 09:00:00,5297,0,14
"Белочки в шоке: гуляем в парке Уфы, возле которого пройдет проспект Салавата Юлаева до Черниковки",https://ufa1.ru/text/gorod/2023/02/01/72009917/,Город,2023-02-01 08:15:00,7663,83700,12
"Что нас ждет в феврале: матерям и детям прибавят пособия, на «Госуслуги» будут пускать по голосу",https://ufa1.ru/text/world/2023/02/01/72020198/,Страна и мир,2023-02-01 08:00:00,1615,85500,18
Подозрительные лица: кого объявила в розыск полиция Уфы — смотрим ориентировки,https://ufa1.ru/text/criminal/2023/02/01/72019712/,Криминал,2023-02-01 07:50:00,17119,85800,17
Поджигателя военкомата впервые в России признали террористом: новости СВО за 31 января,https://ufa1.ru/text/world/2023/01/31/72020879/,Страна и мир,2023-01-31 22:15:00,2373,51900,18
"В ходе спецоперации погиб 28-летний прапорщик из Башкирии, который ранее служил в Сирии",https://ufa1.ru/text/incidents/2023/01/31/72021365/,Происшествия,2023-01-31 22:05:00,4692,85800,25
Дочь султана Брунея вышла замуж за двоюродного брата — смотрим фото легендарной королевской свадьбы,https://ufa1.ru/text/world/2023/01/31/72018137/,Страна и мир,2023-01-31 22:00:00,3895,86100,18
В Башкирии 16-летний подросток изнасиловал и убил пенсионерку,https://ufa1.ru/text/incidents/2023/01/31/72021275/,Происшествия,2023-01-31 21:00:00,19128,82800,25
"Козерогам копить деньги, а Овнам ждать обмана. Гороскоп на февраль от астролога",https://ufa1.ru/text/entertainment/2023/01/31/72019139/,Развлечения,2023-01-31 21:00:00,3516,0,24
Спасаются ведрами: в Уфе пациенты пожаловались на протекающий потолок в больнице,https://ufa1.ru/text/health/2023/01/31/72021026/,Здоровье,2023-01-31 20:00:00,3110,82800,23
"«Вы че наделали, мужики?» В машине ППС при странных обстоятельствах умер задержанный — видео последних минут его жизни",https://ufa1.ru/text/criminal/2023/01/31/72020696/,Криминал,2023-01-31 18:51:15,6261,82275,17
"Мэрия Уфы проиграла суд по отмене строительства высоток на месте «А-кафе». Смотрим, как идут работы",https://ufa1.ru/text/realty/2023/01/31/72020612/,Недвижимость,2023-01-31 18:35:00,5017,85425,4
"Полет по цене квартиры: угадайте, куда и за сколько летел самый богатый российский пассажир в 2022 году",https://ufa1.ru/text/entertainment/2023/01/31/72017147/,Развлечения,2023-01-31 18:00:00,2509,84300,24
Ребенок с необычными симптомами скончался в больнице. Врачи лечили его от вирусной инфекции,https://ufa1.ru/text/health/2023/01/31/72019226/,Здоровье,2023-01-31 17:30:00,2924,84600,23
"«Отправили на больничный»: в массажном салоне в Уфе рассказали о состоянии сотрудниц, которых избил клиент",https://ufa1.ru/text/incidents/2023/01/31/72020342/,Происшествия,2023-01-31 17:00:00,3999,84600,25
"«Я не знаю, как они живут на такие зарплаты»: менеджер из России рассказала, как устроилась в Ташкенте и как там относятся к русским",https://ufa1.ru/text/world/2023/01/31/72017945/,Страна и мир,2023-01-31 17:00:00,4731,0,18
"Генпрокурор рассказал Путину, сколько незаконно мобилизованных россиян отправили домой",https://ufa1.ru/text/world/2023/01/31/72019973/,Страна и мир,2023-01-31 15:55:05,2054,82505,18
Певца Игоря Николаева госпитализировали из-за проблем с сердцем,https://ufa1.ru/text/culture/2023/01/31/72019829/,Культура,2023-01-31 15:27:00,2418,84715,6
"Стало известно состояние 4-летнего ребенка, которого сбила иномарка в центре Уфы",https://ufa1.ru/text/incidents/2023/01/31/72019817/,Происшествия,2023-01-31 15:20:00,4364,85980,25
«Кинул даже родственников сенатора»: бывший следователь СК собрал с людей сотни миллионов рублей и исчез,https://ufa1.ru/text/incidents/2023/01/31/72017732/,Происшествия,2023-01-31 15:00:00,3377,85200,25
Ударил об стол и швырнул: в Уфе клиент массажного салона жестко избил администратора. Видео,https://ufa1.ru/text/incidents/2023/01/31/72019727/,Происшествия,2023-01-31 14:44:00,7693,85440,25
"Что дешевле содержать — «китайца» или «японца». Сравниваем цены на колодки, свечи и кузовщину",https://ufa1.ru/text/auto/2023/01/31/72015503/,Авто,2023-01-31 14:00:00,3487,83760,8
В Уфе сбили 4-летнего ребенка. Видео,https://ufa1.ru/text/incidents/2023/01/31/72019058/,Происшествия,2023-01-31 13:42:00,11247,85320,25
В Уфе на ходу загорелась маршрутка с пассажирами. Видео,https://ufa1.ru/text/incidents/2023/01/31/72019268/,Происшествия,2023-01-31 13:32:00,5405,85800,25
«А что мы на эти деньги сможем купить?» Экономист — о росте зарплат в Башкирии до 133 тысяч рублей,https://ufa1.ru/text/economics/2023/01/31/72018887/,Экономика,2023-01-31 13:25:00,2387,85980,2
Младенцу в сердце попал кусок катетера. Родители хотят наказать врачей,https://ufa1.ru/text/incidents/2023/01/31/72017285/,Происшествия,2023-01-31 13:00:00,1819,84900,25
В следкоме возбудили уголовное дело по факту ДТП с двумя автобусами в Уфе,https://ufa1.ru/text/transport/2023/01/31/72018839/,Дороги и транспорт,2023-01-31 12:15:00,2137,83700,19
Прокуратура объявила предостережение министру здравоохранения Башкирии,https://ufa1.ru/text/health/2023/01/31/72018713/,Здоровье,2023-01-31 11:27:00,4581,83520,23
Тепло и облачно: синоптики дали прогноз погоды на февраль в Уфе,https://ufa1.ru/text/winter/2023/01/31/72018308/,Зима,2023-01-31 11:10:00,3578,85380,13
"Банки обещают низкий процент по кредиту в обмен на страховку — юрист рассказал, как их перехитрить",https://ufa1.ru/text/economics/2023/01/31/72017393/,Экономика,2023-01-31 11:00:00,3253,85800,2
"Власти Башкирии рассказали, когда семьям мобилизованных ждать выплат",https://ufa1.ru/text/economics/2023/01/31/72018437/,Экономика,2023-01-31 10:10:00,2018,83400,2
"Уфимцам объяснили, почему за отопление за январь придется заплатить больше",https://ufa1.ru/text/winter/2023/01/31/72018377/,Зима,2023-01-31 09:35:00,8352,84300,13
"«Хлеб уже стоит 40–50 рублей»: пенсионерка рассказала, как выживает на 50 тысяч",https://ufa1.ru/text/world/2023/01/31/72017813/,Страна и мир,2023-01-31 09:00:00,90135,84300,18
Число пострадавших в ДТП с автобусами в Уфе увеличилось,https://ufa1.ru/text/incidents/2023/01/31/72018353/,Происшествия,2023-01-31 08:57:00,3884,86220,25
"Скажите начальству, что опоздаете: Уфу сковали пробки",https://ufa1.ru/text/transport/2023/01/31/72018323/,Дороги и транспорт,2023-01-31 08:37:00,4351,85200,19
"Раковина и два туалета на всех: как живут в уфимских бараках, которые внесли в список под снос",https://ufa1.ru/text/gorod/2023/01/31/72012026/,Город,2023-01-31 08:15:00,8727,85080,12
"Китайская грамота: мы составили полный каталог иномарок в России, но все они из одной страны",https://ufa1.ru/text/auto/2023/01/31/72015311/,Авто,2023-01-31 08:00:00,1999,85500,8
"«Деньги важны, но в науку идут за другим»: советник главы Башкирии — о зарплатах педагогов в вузах",https://ufa1.ru/text/education/2023/01/31/72016097/,Образование,2023-01-31 07:50:00,4742,85800,16
"Львам — неожиданный роман, Водолеям — деньги: гороскоп для жителей Башкирии на февраль",https://ufa1.ru/text/entertainment/2023/01/31/72015614/,Развлечения,2023-01-31 07:20:00,133551,84600,24
