Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
В Уфе установили первые новогодние елки. Любуемся фото,https://ufa1.ru/text/gorod/2022/11/18/71826689/,Город  Зима,2022-11-18 13:51:00,3845,84060,12
«На его коленях всегда кто-нибудь сидел»: поговорили с братом главы погибшей в пожаре семьи из Башкирии,https://ufa1.ru/text/incidents/2022/11/18/71826536/,Происшествия,2022-11-18 13:00:00,3492,83340,25
"«В роддом ехать, а детей оставить не с кем»: как многодетная мать вернула домой мобилизованного мужа",https://ufa1.ru/text/world/2022/11/18/71825426/,Страна и мир,2022-11-18 13:00:00,1987,0,18
«Гульназ больше нет»: пропавшую после поездки в такси уфимку нашли мертвой,https://ufa1.ru/text/incidents/2022/11/18/71826506/,Происшествия,2022-11-18 12:54:00,15189,86040,25
"3 родных детей, 4 приемных, 3 с инвалидностью: что известно о погибшей в пожаре семье из Башкирии",https://ufa1.ru/text/incidents/2022/11/18/71826335/,Происшествия,2022-11-18 11:50:49,6527,82609,25
На выходных в Башкирии ожидаются заморозки до -20,https://ufa1.ru/text/winter/2022/11/18/71826245/,Зима,2022-11-18 11:30:00,2362,85151,13
"«У них в пристрое тен был, оттуда огонь шел»: стали известны подробности пожара в Башкирии, где погибли 5 детей",https://ufa1.ru/text/incidents/2022/11/18/71826182/,Происшествия,2022-11-18 11:00:30,4418,84630,25
"«Я его учила смартфоном пользоваться, так и сблизились»: как поженились 81-летняя невеста и 72-летний жених",https://ufa1.ru/text/relations/2022/11/18/71824673/,Он и она,2022-11-18 11:00:00,1597,86370,21
"Бабушка убита горем, ритуальщики увозят тела: фото из села Башкирии, где в пожаре погибло пять детей",https://ufa1.ru/text/incidents/2022/11/18/71826023/,Происшествия,2022-11-18 10:33:13,9410,84793,25
Пенсию сам себе купи: кому нужны пенсионные баллы и где их взять,https://ufa1.ru/text/economics/2022/11/18/71825111/,Экономика,2022-11-18 10:00:00,2305,84407,2
"«Такая хорошая семья была, приемных детей брали»: в пожаре в Башкирии погибла семья с приемными детьми",https://ufa1.ru/text/incidents/2022/11/18/71825933/,Происшествия,2022-11-18 09:51:00,3154,85860,25
В Башкирии в ночном пожаре погибла семья с 5 детьми,https://ufa1.ru/text/incidents/2022/11/18/71825888/,Происшествия,2022-11-18 09:25:43,4428,84883,25
«Всё стоит»: загоревшийся автомобиль заблокировал дорогу на въезде в Уфу. Видео,https://ufa1.ru/text/incidents/2022/11/18/71825864/,Происшествия,2022-11-18 09:17:00,4067,85877,25
"«И мы копали окопы под минометами и под танками». Рассказы четырех из 12 военных, которые сложили оружие в зоне СВО",https://ufa1.ru/text/world/2022/11/18/71825009/,Страна и мир,2022-11-18 09:00:00,8377,85380,18
"Кого уволят, кому зарплату поднимут? Кризис и мобилизация поломали рынок труда — чего ждать работникам в 2023 году",https://ufa1.ru/text/job/2022/11/18/71824937/,Работа,2022-11-18 08:00:00,1849,82800,20
"Образцовый пенсионер на АУЕ* и автобус с блатом: рассказываем, кто в Башкирии ездит на зеркальных номерах",https://ufa1.ru/text/transport/2022/11/18/71824094/,Дороги и транспорт,2022-11-18 07:50:00,11555,85800,19
Бизнес на военниках: сколько в Уфе стоит «отмазаться» от армии и законно ли это,https://ufa1.ru/text/business/2022/11/18/71814629/,Бизнес,2022-11-18 06:50:00,14985,82800,29
Одевайтесь теплее: в Башкирии ожидается снегопад,https://ufa1.ru/text/gorod/2022/11/17/71825252/,Город  Зима,2022-11-17 23:00:00,2367,58200,12
"В Кремле считают, что публичные переговоры с Украиной невозможны: новости вокруг СВО за 17 ноября",https://ufa1.ru/text/world/2022/11/17/71825057/,Страна и мир,2022-11-17 22:00:00,1799,82800,18
В ОАЭ задержали сооснователя финансовой пирамиды «Финико». От её действий пострадали жители Башкирии,https://ufa1.ru/text/incidents/2022/11/17/71825195/,Происшествия,2022-11-17 21:12:00,14838,83520,25
В Башкирии водитель после аварии ударил сотрудника ДПС. Видео,https://ufa1.ru/text/incidents/2022/11/17/71824832/,Происшествия,2022-11-17 20:05:00,3852,82380,25
Суд Гааги заочно приговорил Гиркина и еще двух человек к пожизненному сроку по делу о сбитом малазийском «Боинге»,https://ufa1.ru/text/incidents/2022/11/17/71824826/,Происшествия,2022-11-17 19:54:00,1923,85740,25
«Ребенку здесь придется просто выживать»: в Уфе молодая мать годами живет в доме с плесенью,https://ufa1.ru/text/gorod/2022/11/17/71824463/,Город,2022-11-17 19:05:00,3381,83460,12
"Суд в Гааге признал, что малазийский «Боинг» сбили над Донбассом из зенитного ракетного комплекса",https://ufa1.ru/text/incidents/2022/11/17/71824457/,Происшествия,2022-11-17 19:03:38,1658,86318,25
В самолете занимает шесть кресел: как выглядит и живет самая высокая женщина в мире — смотрим фото,https://ufa1.ru/text/health/2022/11/17/71821256/,Здоровье,2022-11-17 18:00:00,5938,82582,23
"Адские пробки и большая стройка: как делают путепровод в сторону Нагаево, где мучаются водители Уфы",https://ufa1.ru/text/transport/2022/11/17/71823074/,Дороги и транспорт,2022-11-17 17:50:00,13194,85800,19
Замминистра транспорта Башкирии Виктора Жулькова освободили из-под домашнего ареста,https://ufa1.ru/text/incidents/2022/11/17/71823923/,Происшествия,2022-11-17 17:15:00,2969,84300,25
«Спасти рядового Барсика». В Россию десятками вывозят брошенных в зоне СВО животных и находят им новый дом,https://ufa1.ru/text/animals/2022/11/17/71821610/,Животные,2022-11-17 17:00:00,1282,85500,5
Коллегию адвокатов Башкирии возглавил сын её бывшего председателя Денис Юмадилов,https://ufa1.ru/text/gorod/2022/11/17/71823803/,Город,2022-11-17 16:31:00,4917,84660,12
Леворульные иномарки — по адекватным ценам: в Уфе появилась возможность купить авто на 25–40% дешевле рынка,https://ufa1.ru/text/auto/2022/11/17/71815094/,Авто,2022-11-17 16:00:00,17946,84540,8
В Мурманске скончался 20-летний хоккеист из Уфы,https://ufa1.ru/text/incidents/2022/11/17/71823548/,Происшествия,2022-11-17 15:20:00,14002,84000,25
Не берут оружие в руки и говорят на загадочном языке. Как в селе Неудачино живет исчезающая община — репортаж,https://ufa1.ru/text/world/2022/11/17/71822201/,Страна и мир,2022-11-17 15:00:00,2165,85200,18
YAPPY выберет лицо новой рекламной кампании среди пользователей,https://ufa1.ru/text/gorod/2022/11/17/71823404/,Город,2022-11-17 14:30:09,1828,84609,12
"В Башкирии обсуждают возможную отставку главы МВД. Рассказываем, что известно на данный момент",https://ufa1.ru/text/politics/2022/11/17/71823281/,Политика,2022-11-17 14:20:59,9666,85850,22
"В администрации Уфы одобрили идею назвать одну из улиц именем Жириновского. Показываем, где она будет",https://ufa1.ru/text/gorod/2022/11/17/71823140/,Город  Политика,2022-11-17 13:31:00,6995,83401,12
"«Понаехи» из Сочи рванули по домам, узнав, что такое жэпэшки. Как лихорадит рынок недвижимости главного курорта",https://ufa1.ru/text/realty/2022/11/17/71822294/,Недвижимость,2022-11-17 13:00:00,3395,84540,4
«Пусть главе района будет стыдно»: в Башкирии подросток-инвалид поднимается домой по лестнице на коленях,https://ufa1.ru/text/health/2022/11/17/71822900/,Здоровье,2022-11-17 12:45:00,4399,85500,23
"Погиб 27-летний мобилизованный, интервью с которым показывали по федеральным каналам. Вот его история",https://ufa1.ru/text/politics/2022/11/17/71822066/,Политика,2022-11-17 12:30:00,7640,85500,22
Пропали миллионы на коммуналку: против управляющих компаний в Башкирии возбудили дело о мошенничестве,https://ufa1.ru/text/incidents/2022/11/17/71822798/,Происшествия,2022-11-17 12:20:00,6220,85800,25
"«Один осколок попал в грудную клетку — в крестик». Откровение ополченки саперной роты, сбежавшей в Россию от угроз",https://ufa1.ru/text/family/2022/11/17/71821844/,Семья,2022-11-17 11:00:00,2390,81600,26
«Ведут себя цинично»: адвокат изнасилованной в Уфе экс-дознавательницы — об апелляции виновных,https://ufa1.ru/text/incidents/2022/11/17/71822657/,Происшествия,2022-11-17 10:32:00,37393,84720,25
"Какой сок самый вредный, а какой — самый полезный? Отвечают врачи",https://ufa1.ru/text/food/2022/11/17/71821025/,Еда,2022-11-17 10:00:00,2031,84480,3
"«Сколько можно травить людей?»: под Уфой жалуются на воду с землей, текущую из крана",https://ufa1.ru/text/gorod/2022/11/17/71822519/,Город,2022-11-17 08:50:00,2787,82200,12
"Меньше 6 тысяч не заплатят? Как вырастет МРОТ и прожиточный минимум, и на какие пособия это повлияет",https://ufa1.ru/text/economics/2022/11/17/71820410/,Экономика,2022-11-17 08:00:00,3929,83400,2
"Мужчины не отвечают на звонки: рассказываем, как мобилизация изменила рынок вакансий в Башкирии",https://ufa1.ru/text/business/2022/11/17/71817422/,Бизнес  Работа,2022-11-17 07:30:00,25105,84600,29
Ржавеющий батыр: до чего довели памятник Салавату Юлаеву в Уфе за 55 лет и что с ним будет,https://ufa1.ru/text/gorod/2022/11/17/71820524/,Город,2022-11-17 07:00:00,7216,84600,12
Участников драки на любительском хоккейном матче в Уфе наказали,https://ufa1.ru/text/sport/2022/11/16/71822138/,Спорт,2022-11-16 23:32:00,3027,59520,1
"Совратил или влюбился? История Вали Исаевой, которая родила в 11 лет от гастарбайтера, — как они живут сейчас",https://ufa1.ru/text/relations/2022/11/16/71818247/,Он и она,2022-11-16 22:00:00,36358,80880,21
Военную подготовку для российских школьников пообещали проводить во внеурочное время: новости вокруг СВО за 16 ноября,https://ufa1.ru/text/world/2022/11/16/71819669/,Страна и мир,2022-11-16 22:00:00,1331,0,18
"Власти города в Башкирии объяснили, как будут тратить миллионы на новогодний городок",https://ufa1.ru/text/gorod/2022/11/16/71821958/,Город,2022-11-16 21:40:00,1570,85200,12
Обвиненные в изнасиловании коллеги экс-полицейские из Уфы подали на апелляцию,https://ufa1.ru/text/incidents/2022/11/16/71821754/,Происшествия,2022-11-16 20:15:00,14160,81300,25
У родственников экс-владельца завода «Индюшкин» могут изъять имущество. Смотрим на их авто,https://ufa1.ru/text/economics/2022/11/16/71821661/,Экономика,2022-11-16 19:30:00,16755,83700,2
"Муж замглавы Херсонской области заявил, что его супруга пропала. Оказалось, ее задержало МВД",https://ufa1.ru/text/politics/2022/11/16/71821307/,Политика,2022-11-16 18:03:00,2633,81180,22
Потомок Николая I и Наполеона Бонапарта участвует в СВО и женился на девушке из Донбасса — смотрим фото этой пары,https://ufa1.ru/text/world/2022/11/16/71817830/,Страна и мир,2022-11-16 18:00:00,2502,86220,18
Снегопад и резкий холод: синоптики рассказали о погоде в Башкирии в ближайшие дни,https://ufa1.ru/text/gorod/2022/11/16/71821187/,Город,2022-11-16 18:00:00,8864,0,12
В Уфе помощника прокурора обвинили во взяточничестве,https://ufa1.ru/text/incidents/2022/11/16/71820881/,Происшествия,2022-11-16 17:20:00,5948,84000,25
"«Повсюду русская речь, будто и не уезжал»: россияне — о том, как сейчас зимуют в Таиланде и сколько тратят на жизнь",https://ufa1.ru/text/world/2022/11/16/71818424/,Страна и мир,2022-11-16 17:00:00,2243,85200,18
В Башкирии при столкновении автобуса и легковушки погиб 53-летний мужчина,https://ufa1.ru/text/incidents/2022/11/16/71820569/,Происшествия,2022-11-16 15:10:00,2942,79800,25
В Кремле прокомментировали падение ракет на территорию Польши,https://ufa1.ru/text/incidents/2022/11/16/71820653/,Происшествия,2022-11-16 15:10:00,1550,0,25
«Современная карательная система»: мама первоклашки резко раскритиковала образование в школах — колонка,https://ufa1.ru/text/education/2022/11/16/71818760/,Образование,2022-11-16 15:00:00,4610,85800,16
"«Увозили ночью, угрожали»: по уголовному делу против замначальника полиции Башкирии выступил второй подсудимый",https://ufa1.ru/text/criminal/2022/11/16/71820572/,Криминал,2022-11-16 14:55:00,7685,86100,17
Хоккейная команда надзирателей из Уфы подралась с противниками прямо во время матча. Видео,https://ufa1.ru/text/incidents/2022/11/16/71820263/,Происшествия  Спорт,2022-11-16 14:05:00,5012,83400,25
Сын главного росгвардейца Башкирии попался с наркотиками в Казани,https://ufa1.ru/text/incidents/2022/11/16/71820296/,Происшествия,2022-11-16 13:41:00,84259,84960,25
"«Это не приказ, а рекомендация». История отца троих детей, которого вернули домой со спецоперации",https://ufa1.ru/text/world/2022/11/16/71818664/,Страна и мир,2022-11-16 13:00:00,1574,83940,18
"В Башкирии проходит прощание с тремя погибшими на Украине солдатами. Рассказываем, что о них известно",https://ufa1.ru/text/incidents/2022/11/16/71819825/,Происшествия,2022-11-16 12:30:00,13336,84600,25
В Башкирии возмутились демонтажем памятника знаменитой певице Хание Фархи. Узнали причину,https://ufa1.ru/text/culture/2022/11/16/71819840/,Культура,2022-11-16 11:37:00,7166,83220,6
От культовых нулевых до современности: как изменился популярный книжный магазин за 30 лет,https://ufa1.ru/text/entertainment/2022/11/16/71819723/,Развлечения,2022-11-16 11:33:30,1842,86190,24
"«Вытащил товарищей, но ушел сам»: мама погибшего на Украине 20-летнего Ермака — про жизнь и смерть сына",https://ufa1.ru/text/world/2022/11/16/71819201/,Страна и мир,2022-11-16 11:30:00,3503,86190,18
"«Сейчас рынок покупателя, а не продавца». Рассказываем, пора ли бежать покупать квартиру или пока подождать",https://ufa1.ru/text/realty/2022/11/16/71818550/,Недвижимость,2022-11-16 11:00:00,2124,84600,4
"Влетели в гараж, трое детей остались без отца: рассказываем подробности ДТП в Башкирии, где погибли 2 человека",https://ufa1.ru/text/incidents/2022/11/16/71819663/,Происшествия,2022-11-16 10:50:00,5797,85800,25
Горой вставало целое село: 5 историй незаконно мобилизованных — как им удалось вернуться домой,https://ufa1.ru/text/world/2022/11/16/71818877/,Страна и мир,2022-11-16 10:00:00,2885,83400,18
«Люди они трусоватые». Зачем вводят уголовку за пропаганду ЛГБТ — аудио разговора с депутатом Госдумы,https://ufa1.ru/text/world/2022/11/16/71819273/,Страна и мир,2022-11-16 09:30:00,1606,84600,18
Дачников и садоводов заставят регистрировать дома: какие законопроекты предложил Росреестр,https://ufa1.ru/text/realty/2022/11/16/71818340/,Недвижимость,2022-11-16 09:00:00,3048,84600,4
Кто может получить повестку после окончания мобилизации? Отвечают юристы,https://ufa1.ru/text/world/2022/11/16/71815142/,Страна и мир,2022-11-16 08:00:00,3158,82800,18
"«Воюем за копейки»: как выселяют жителей из частного сектора в Уфе, по которому пройдет новая дорога",https://ufa1.ru/text/gorod/2022/11/16/71814341/,Город,2022-11-16 07:50:00,22225,85800,12
Сплавили всю медь: как один из крупнейших заводов Урала превратился в руины,https://ufa1.ru/text/culture/2022/11/16/71814425/,Культура,2022-11-16 06:50:00,14698,82800,6
"В МИД Польши заявили, что упавшие ракеты — «российского производства». В РФ говорят о провокации",https://ufa1.ru/text/incidents/2022/11/16/71819318/,Происшествия,2022-11-16 05:25:13,1547,81313,25
В Башкирии автобус детской спортшколы вез мобилизованных и попал в ДТП. Для ремонта нужны «санкционные» запчасти,https://ufa1.ru/text/incidents/2022/11/16/71819090/,Происшествия,2022-11-16 00:18:50,3004,68017,25
На территории Польши упали две ракеты. Местные СМИ сообщают о двух погибших,https://ufa1.ru/text/incidents/2022/11/15/71819078/,Происшествия,2022-11-15 23:45:24,2651,84394,25
"В Кремле рассказали, остается ли Херсон столицей российского региона: новости вокруг СВО за 15 ноября",https://ufa1.ru/text/world/2022/11/15/71818703/,Страна и мир,2022-11-15 22:01:00,2743,80136,18
«Называла сынулей»: мама отдала ребенка няне на 7 лет и интересовалась им только через СМС. А потом решила забрать,https://ufa1.ru/text/family/2022/11/15/71815916/,Семья,2022-11-15 22:00:00,2524,86340,26
Третий батальон добровольцев из Башкирии отправился на боевое слаживание,https://ufa1.ru/text/politics/2022/11/15/71818970/,Политика,2022-11-15 21:26:00,3115,84360,22
Под девизом «и так сойдет»: фонд капремонта в домах Башкирии заподозрили в махинациях,https://ufa1.ru/text/gorod/2022/11/15/71818187/,Город,2022-11-15 21:13:05,4879,85625,12
"Жителям Уфы, которые получили огромные платежки за тепло в октябре, пообещали сделать перерасчет",https://ufa1.ru/text/house/2022/11/15/71818802/,Мой дом,2022-11-15 20:23:00,5206,83395,14
Путин наградил орденом лишившегося ног советника мэра Уфы,https://ufa1.ru/text/politics/2022/11/15/71818469/,Политика,2022-11-15 19:27:00,3873,83040,22
В Башкирии педиатра из-за нехватки машин в больнице на вызовы возят родители пациентов,https://ufa1.ru/text/health/2022/11/15/71816747/,Здоровье,2022-11-15 18:35:00,6219,83280,23
Для профи и домашних мастеров: в Уфе открылся первый гипермаркет электрики,https://ufa1.ru/text/gorod/2022/11/15/71814743/,Город,2022-11-15 18:23:00,9209,85680,12
"Пробки на 8 баллов: после снегопада стоят центр Уфы, Черниковка и Инорс",https://ufa1.ru/text/transport/2022/11/15/71818115/,Дороги и транспорт,2022-11-15 18:19:00,3640,86160,19
"Может случиться с каждым: история мужчины, который болел ковидом 411 дней — у него были неочевидные симптомы",https://ufa1.ru/text/health/2022/11/15/71814941/,Здоровье,2022-11-15 18:00:00,2686,85260,23
"Стало известно, когда рассмотрят жалобу Юрия Шевчука на штраф за дискредитацию Вооруженных сил",https://ufa1.ru/text/politics/2022/11/15/71818001/,Культура  Политика,2022-11-15 17:45:00,2139,85500,6
"В мэрии Уфы объяснили, почему на ледовые городки потратят почти 30 миллионов рублей",https://ufa1.ru/text/economics/2022/11/15/71817494/,Город  Экономика,2022-11-15 17:08:00,2717,84180,12
"«Пока не похудею, в интернет не зайду». Откровенный рассказ молодой мамы: она быстро скинула 37 кг, но потом долго лечилась",https://ufa1.ru/text/health/2022/11/15/71815673/,Здоровье,2022-11-15 17:00:00,2240,85920,23
В уголовном деле замначальника полиции Башкирии фигурирует крупный бизнесмен из Китая,https://ufa1.ru/text/politics/2022/11/15/71817473/,Криминал  Политика,2022-11-15 16:01:00,5000,82860,17
"Улицы засыпало снегом, дороги превращаются в каток: как Уфа справляется с приходом зимы",https://ufa1.ru/text/gorod/2022/11/15/71817440/,Город,2022-11-15 15:30:00,3824,84540,12
"«Я здесь как инопланетянин»: история молодого учителя, который бросил Америку и Москву ради детей из российской глуши",https://ufa1.ru/text/education/2022/11/15/71816162/,Образование,2022-11-15 15:00:00,3177,84600,16
"В МИД РФ заявили, что условия Украины для переговоров нереалистичны. Что это за условия?",https://ufa1.ru/text/politics/2022/11/15/71817446/,Политика,2022-11-15 14:51:00,1710,85860,22
ФСБ накрыла нарколабораторию в Башкирии. Там успели изготовить почти миллион доз,https://ufa1.ru/text/criminal/2022/11/15/71817059/,Криминал,2022-11-15 13:35:00,7360,81840,17
"«Ты же знал, что ты лишен прав!»: в Башкирии перевернулся КАМАЗ с опасным грузом",https://ufa1.ru/text/incidents/2022/11/15/71817188/,Происшествия,2022-11-15 13:30:00,2944,86100,25
В Башкирии сняли с продажи украинское лекарство. Узнали причину,https://ufa1.ru/text/animals/2022/11/15/71816843/,Животные,2022-11-15 13:02:00,6528,84720,5
Волнения на стройке Восточного выезда в Уфе: более 1300 иностранным работникам задержали зарплату,https://ufa1.ru/text/transport/2022/11/15/71816972/,Дороги и транспорт,2022-11-15 12:25:30,24653,84210,19
Пролетел несколько метров: в Башкирии водитель сбил 11-летнего школьника. Видео,https://ufa1.ru/text/incidents/2022/11/15/71816864/,Происшествия,2022-11-15 12:15:00,4057,85770,25
Отморозить можно нос: синоптики дали прогноз погоды в Башкирии на ближайшие дни,https://ufa1.ru/text/winter/2022/11/15/71816624/,Зима,2022-11-15 11:05:00,2817,82200,13
«Светит 10 лет тюрьмы». Экскаваторщика отправили на полигон после объявления о завершении мобилизации. Это законно?,https://ufa1.ru/text/world/2022/11/15/71816090/,Страна и мир,2022-11-15 11:00:00,2417,86100,18
«Цербер» наступает. Новый вариант коронавируса нашли в России — он распространяется еще быстрее,https://ufa1.ru/text/world/2022/11/15/71816012/,Страна и мир,2022-11-15 11:00:00,3338,0,18
Пожаловаться на задержку выплат военнослужащим можно на «Госуслугах»,https://ufa1.ru/text/world/2022/11/15/71816642/,Страна и мир,2022-11-15 10:42:22,720,85342,18
"В мэрии рассказали, зачем изымают десятки домов в Уфе. Часть из них снесет фирма мультимиллионера из Горсовета",https://ufa1.ru/text/gorod/2022/11/15/71816480/,Город,2022-11-15 10:30:00,22598,85658,12
"Муж оставил квартиру жене, но после его смерти родственница забрала долю. Оказалось, это законно",https://ufa1.ru/text/world/2022/11/15/71814302/,Страна и мир,2022-11-15 10:00:00,6495,84600,18
"«Контракты истекли, но реакции никакой»: жены добровольцев на СВО просят вернуть их в Башкирию",https://ufa1.ru/text/politics/2022/11/15/71816465/,Политика,2022-11-15 09:39:00,13951,85140,22
Поступление в вуз на бюджет и стипендия 20 тысяч в месяц: зачем школьнику участвовать в олимпиадах,https://ufa1.ru/text/education/2022/11/15/71815253/,Образование,2022-11-15 09:00:00,1601,84060,16
Уфу сковали 8-балльные пробки,https://ufa1.ru/text/transport/2022/11/15/71816375/,Дороги и транспорт,2022-11-15 08:22:00,5068,84120,19
Россияне получают повестки по уточнению данных — что это такое и могут ли по ним мобилизовать,https://ufa1.ru/text/world/2022/11/15/71815046/,Страна и мир,2022-11-15 08:00:00,3773,85080,18
"«У нас с юмором лучше, чем в Казани»: как уфимцы придумали одежду, которую полюбила вся Россия",https://ufa1.ru/text/business/2022/11/15/71796773/,Бизнес,2022-11-15 07:50:00,10180,85800,29
"Сколько тратят на беженцев, кабинеты чиновников и винтовки детям: главные закупки Башкирии",https://ufa1.ru/text/economics/2022/11/15/71805233/,Экономика,2022-11-15 07:20:00,3846,84600,2
«Гуся с черносливом или индейку с апельсином?»: депутат Госдумы раскритиковала власти Башкирии за зверские аппетиты,https://ufa1.ru/text/politics/2022/11/14/71815859/,Политика,2022-11-14 22:28:00,6449,54480,22
"Разруха, мешки и развороченная земля: как выглядит Парк нефтехимиков в Уфе за две недели до открытия",https://ufa1.ru/text/gorod/2022/11/14/71814065/,Город,2022-11-14 22:00:00,6317,84720,12
Мобилизованным пообещали дважды выплатить деньги в декабре: новости СВО за 14 ноября,https://ufa1.ru/text/world/2022/11/14/71813654/,Страна и мир,2022-11-14 22:00:00,1844,0,18
В Минэкологии Башкирии поддержали предложение отстреливать диких собак. Против — зоозащита и Госдума,https://ufa1.ru/text/ecology/2022/11/14/71815235/,Экология,2022-11-14 21:00:00,3016,82800,15
Пять человек пострадали после столкновения маршрутки и двух автобусов в Уфе. Узнали подробности,https://ufa1.ru/text/transport/2022/11/14/71815529/,Дороги и транспорт  Происшествия,2022-11-14 19:47:00,6525,82020,19
В Уфе прекратили выпуск вакцины от коронавируса,https://ufa1.ru/text/health/2022/11/14/71815430/,Здоровье,2022-11-14 18:50:00,3386,82980,23
В России впервые присвоено звание «Мать-героиня». Ей стала супруга Рамзана Кадырова,https://ufa1.ru/text/world/2022/11/14/71815301/,Страна и мир,2022-11-14 18:24:24,2335,84864,18
Крупный банк снизил ставку по семейной ипотеке,https://ufa1.ru/text/realty/2022/11/14/71814887/,Недвижимость,2022-11-14 18:15:00,1948,85836,4
"Смертельная горошина: что делать, если у вас уплотнение под мышкой и когда это опасно — объясняют врачи",https://ufa1.ru/text/health/2022/11/14/71810891/,Здоровье,2022-11-14 18:00:00,1825,85500,23
"Снегоплавильный завод в Уфе построит бывшая «депутатская» компания. Рассказываем, что о ней известно",https://ufa1.ru/text/ecology/2022/11/14/71814854/,Экология,2022-11-14 17:40:00,3853,85200,15
"Педофилия со сроком давности. Почему насильника девочки признали виновным, но освободили из зала суда",https://ufa1.ru/text/incidents/2022/11/14/71811017/,Происшествия,2022-11-14 17:00:00,3041,84000,25
Подарки и скидки в честь дня рождения: популярный технологичный бренд отметит пятилетие в России,https://ufa1.ru/text/gorod/2022/11/14/71814116/,Город,2022-11-14 16:50:00,3353,85800,12
На Всероссийском форуме в Уфе представили опыт развития корпоративного волонтерства,https://ufa1.ru/text/gorod/2022/11/14/71814197/,Город,2022-11-14 16:00:00,1554,83400,12
Новые подробности ареста замминистра в Башкирии: его шеф оказался связан с фирмой из уголовного дела,https://ufa1.ru/text/politics/2022/11/14/71809148/,Криминал  Политика,2022-11-14 16:00:00,5790,0,17
Прокуратура начала проверку из-за кислотно-зеленых водоемов в Уфе,https://ufa1.ru/text/incidents/2022/11/14/71814488/,Происшествия  Экология,2022-11-14 15:45:00,3133,85500,25
В Уфе банкротят караоке-бар жены бывшего депутата Госдумы,https://ufa1.ru/text/business/2022/11/14/71814434/,Бизнес,2022-11-14 15:25:00,8693,85200,29
«Как мы можем выступать под ее флагом?»: министр культуры Башкирии — об отмене спектакля по роману Яхиной,https://ufa1.ru/text/culture/2022/11/14/71814368/,Культура  Политика,2022-11-14 15:10:00,7683,85500,6
"Одолели спам-звонки. Разбираемся, как от них избавиться и откуда берут наши номера",https://ufa1.ru/text/gorod/2022/11/14/71812664/,Город,2022-11-14 15:00:00,5634,85800,12
Башкирское предприятие завоевало золотую медаль на промышленной выставке в Москве,https://ufa1.ru/text/gorod/2022/11/14/71813807/,Город,2022-11-14 14:20:00,2756,84000,12
СМИ сообщили о госпитализации Сергея Лаврова на Бали,https://ufa1.ru/text/world/2022/11/14/71814182/,Страна и мир,2022-11-14 14:17:13,3412,86233,18
"Праздник к нам приходит: власти Башкирии рассказали, когда на улицах появится новогодняя подсветка",https://ufa1.ru/text/gorod/2022/11/14/71814077/,Город  Зима,2022-11-14 13:56:00,2104,85127,12
Россияне пострадали при теракте в Стамбуле,https://ufa1.ru/text/incidents/2022/11/14/71814098/,Происшествия,2022-11-14 13:53:00,1977,86220,25
"Премьер Башкирии рассказал, почему в батальон Салавата Юлаева взяли не всех добровольцев",https://ufa1.ru/text/politics/2022/11/14/71813912/,Политика,2022-11-14 13:08:00,5092,83700,22
Мобилизованные получат декабрьскую выплату до новогодних праздников,https://ufa1.ru/text/world/2022/11/14/71813954/,Страна и мир,2022-11-14 13:08:00,1060,0,18
У главы Башкирии обнаружили воспаление легких,https://ufa1.ru/text/politics/2022/11/14/71813813/,Здоровье  Политика,2022-11-14 12:15:00,7602,83220,23
В Уфе строительство приюта для бродячих животных обойдется в 150 миллионов рублей,https://ufa1.ru/text/animals/2022/11/14/71813777/,Животные,2022-11-14 12:00:00,2352,85500,5
На Украине погиб 21-летний контрактник из Башкирии,https://ufa1.ru/text/incidents/2022/11/14/71813570/,Происшествия,2022-11-14 11:36:00,9828,84960,25
"«Бедным готовиться к Новому году, среднему классу — к Мальдивам»: профессор-экономист рассказал, что будет с рублем",https://ufa1.ru/text/economics/2022/11/14/71811116/,Экономика,2022-11-14 11:00:00,3316,84240,2
"Вам еще и доплатят! Проверьте, что вы знаете о своих правах покупателя",https://ufa1.ru/text/economics/2022/11/14/71810360/,Экономика,2022-11-14 10:00:00,1488,82800,2
Скидка на машины «золотого гаишника» Башкирии: авто арестованного Ильдуса Шайбакова выставили на торги,https://ufa1.ru/text/transport/2022/11/14/71813501/,Дороги и транспорт,2022-11-14 09:36:00,12906,84960,19
"«Не вчитываясь, ставят подпись». Комитет солдатских матерей — о том, как 18-летние попадают на СВО, и об увеличении срока службы",https://ufa1.ru/text/world/2022/11/14/71811200/,Страна и мир,2022-11-14 09:00:00,2842,84240,18
«Сотни учеников будут переплывать через лужи»: несколько районов Уфы затопило,https://ufa1.ru/text/gorod/2022/11/14/71813468/,Город,2022-11-14 09:00:00,2404,0,12
Деньги или отдых? Когда выгоднее взять отпуск в 2023 году,https://ufa1.ru/text/job/2022/11/14/71810447/,Работа,2022-11-14 08:00:00,2608,82800,20
"«Нам достаточно трех часов сна»: рассказываем, кто в Уфе собирает помощь мобилизованным",https://ufa1.ru/text/gorod/2022/11/14/71801234/,Город,2022-11-14 07:50:00,6398,85800,12
Военкомат не видел разницы между бронью и отсрочкой: как 23 заводчанина выиграли суд по мобилизации,https://ufa1.ru/text/incidents/2022/11/14/71802869/,Происшествия,2022-11-14 07:20:00,10494,84600,25
